GroupName,Region,Department
Sales,West,Marketing
Sales,Central,Marketing
Sales,West,IT
Sales,Pacific,Marketing
Sales,Pacific,HR
Marketing,Pacific,Logistics
Marketing,Central,HR
Marketing,Central,IT
Marketing,East,Logistics
Marketing,North,Marketing
HR,Central,Marketing
HR,North,Sales
HR,West,Marketing
HR,South,Sales
HR,North,Marketing
Executive,North,Finance
Executive,South,Marketing
Executive,Pacific,Sales
Executive,Pacific,IT
Executive,South,HR
IT,West,Finance
IT,South,Finance
IT,West,Finance
IT,Central,Finance
IT,North,IT
Finance,West,Logistics
Finance,Central,Customer Service
Finance,West,Logistics
Finance,Pacific,Logistics
Finance,North,Sales
Operations,North,Marketing
Operations,North,IT
Operations,East,IT
Operations,East,Finance
Operations,East,Sales
Support,South,Logistics
Support,Central,Sales
Support,North,IT
Support,West,Marketing
Support,Pacific,IT
